item_id,order_id,product_id,product_name,category,quantity,unit_price,gst_rate,gst_amount,discount_amount,total_price
ITM0000001,ORD000001,PRD0522,HCL Cricket Bat Ultra,Sports & Fitness,1,40989,12,4918.68,7861.45,38046.23
ITM0000002,ORD000001,PRD0094,Berger Router Pro,Electronics,1,62532,18,11255.76,12373.11,61414.65
ITM0000003,ORD000001,PRD0613,Voltas Educational Toy Standard,Toys & Baby,1,1585,12,190.2,251.89,1523.31
ITM0000004,ORD000002,PRD0556,Ambrane Cycle Standard,Sports & Fitness,3,1107,12,398.52,631.44,3088.08
ITM0000005,ORD000002,PRD0026,Pebble Tablet Premium,Electronics,2,114448,18,41201.28,18707.35,251389.93
ITM0000006,ORD000003,PRD0518,Crompton Dumbbells Premium,Sports & Fitness,1,16599,12,1991.88,173.22,18417.66
ITM0000007,ORD000003,PRD0286,Fire-Boltt Bedsheet Set Lite,Home & Kitchen,3,4364,12,1571.04,523.64,14139.4
ITM0000008,ORD000004,PRD0291,Polycab Curtains Standard,Home & Kitchen,2,12887,12,3092.88,4029.94,24836.94
ITM0000009,ORD000005,PRD0022,ITC Tablet Base,Electronics,2,69701,18,25092.36,7805.07,156689.29
ITM0000010,ORD000006,PRD0750,HDFC Atta Classic,Grocery,3,594,0,0.0,225.2,1556.8
ITM0000011,ORD000006,PRD0439,Crompton Sunscreen Plus,Beauty & Health,3,2783,18,1502.82,1038.59,8813.23
ITM0000012,ORD000007,PRD0046,Pidilite Headphones Premium,Electronics,2,149361,18,53769.96,50097.11,302394.85
ITM0000013,ORD000007,PRD0301,ITC Fiction Novel Plus,Books,2,1192,0,0.0,129.11,2254.89
ITM0000014,ORD000007,PRD0774,Voltas Green Tea Pro,Grocery,1,1863,0,0.0,317.15,1545.85
ITM0000015,ORD000008,PRD0017,Pidilite Laptop Elite,Electronics,1,98845,18,17792.1,16468.22,100168.88
ITM0000016,ORD000008,PRD0349,Infosys Self Help Book Pro,Books,1,898,0,0.0,141.94,756.06
ITM0000017,ORD000008,PRD0175,Titan Sherwani Base,Fashion,3,2949,5,442.35,275.63,9013.72
ITM0000018,ORD000009,PRD0309,Polycab Fiction Novel Classic,Books,1,660,0,0.0,13.27,646.73
