order_id,customer_id,order_date,order_time,status,city,state,pincode,total_amount,gst_amount,shipping_charge,discount_amount,final_amount,payment_method,shipping_partner,tracking_id,delivered_date,is_cod,channel
ORD000001,CUST02946,22-05-2025,17:10:00,Processing,Pune,Maharashtra,300862,100984.19,16364.64,0,20486.45,100984.19,Cash on Delivery,BlueDart,TRK354572763,,1,App
ORD000002,CUST04232,16-10-2023,05:32:00,Delivered,Ludhiana,Punjab,387852,254478.01,41599.8,0,19338.79,254478.01,UPI,DTDC,TRK272838570,19-10-2023,0,Website
ORD000003,CUST08078,08-10-2023,12:32:00,Cancelled,Meerut,Uttar Pradesh,294014,32557.06,3562.92,0,696.86,32557.06,Debit Card,Amazon Logistics,TRK338505401,,0,App
ORD000004,CUST09612,02-10-2023,08:05:00,Delivered,Nashik,Maharashtra,626047,24836.94,3092.88,0,4029.94,24836.94,UPI,DTDC,TRK289792017,09-10-2023,0,Mobile Web
ORD000005,CUST03065,15-06-2024,20:19:00,Delivered,Moradabad,Uttar Pradesh,409210,156689.29,25092.36,0,7805.07,156689.29,UPI,Ecom Express,TRK978240041,22-06-2024,0,App
ORD000006,CUST00643,02-03-2025,16:25:00,Cancelled,Delhi,Delhi,138586,10370.03,1502.82,0,1263.79,10370.03,UPI,Delhivery,TRK773036982,,0,App
ORD000007,CUST00754,12-04-2025,03:48:00,Shipped,Lucknow,Uttar Pradesh,679970,306195.59,53769.96,0,50543.37,306195.59,Debit Card,DTDC,TRK157558824,,0,App
ORD000008,CUST02760,12-08-2024,05:23:00,Shipped,Nagpur,Maharashtra,510974,109938.66,18234.45,0,16885.79,109938.66,Credit Card,Delhivery,TRK172908325,,0,Website
ORD000009,CUST01691,06-02-2024,23:00:00,Delivered,Ahmedabad,Gujarat,680552,72445.53,13081.11,0,6130.58,72445.53,Cash on Delivery,Shadowfax,TRK646845214,08-02-2024,1,Mobile Web
ORD000010,CUST03540,07-08-2024,19:47:00,Delivered,Mysuru,Karnataka,350534,56410.81,6901.58,0,10761.77,56410.81,UPI,BlueDart,TRK782483539,11-08-2024,0,App
ORD000011,CUST01166,07-10-2024,15:00:00,Cancelled,Bareilly,Uttar Pradesh,364817,61875.81,7625.46,0,4079.65,61875.81,EMI,DTDC,TRK233591689,,0,App
ORD000012,CUST00596,07-09-2023,06:10:00,Delivered,Hubli,Karnataka,309322,5147.23,919.8,0,882.57,5147.23,Credit Card,Shadowfax,TRK549134367,11-09-2023,0,Website
ORD000013,CUST07476,16-12-2024,01:07:00,Shipped,Rajkot,Gujarat,499316,24139.81,1476.44,0,3019.63,24139.81,Debit Card,Amazon Logistics,TRK654158024,,0,App
ORD000014,CUST04796,20-08-2024,05:00:00,Cancelled,Meerut,Uttar Pradesh,301975,152164.56,19264.24,0,6695.68,152164.56,UPI,XpressBees,TRK503824854,,0,App
ORD000015,CUST05470,15-12-2024,03:25:00,Returned,Meerut,Uttar Pradesh,169595,24167.33,4701.04,0,1159.71,24167.33,Credit Card,BlueDart,TRK256486453,,0,App
ORD000016,CUST08893,30-06-2024,23:09:00,Processing,Firozabad,Uttar Pradesh,687974,163045.34,24959.16,0,575.82,163045.34,UPI,BlueDart,TRK840846841,,0,App
ORD000017,CUST07581,25-10-2023,12:13:00,Returned,Bengaluru,Karnataka,210282,11698.27,2672.62,0,1248.35,11698.27,Credit Card,Ecom Express,TRK174262622,,0,App
ORD000018,CUST06546,24-04-2025,03:47:00,Delivered,Nashik,Maharashtra,518268,36878.41,4483.98,0,4311.57,36878.41,Cash on Delivery,Ecom Express,TRK176483697,29-04-2025,1,Website
ORD000019,CUST03475,25-01-2025,04:54:00,Delivered,Chennai,Tamil Nadu,757744,4252.56,536.22,0,522.66,4252.56,UPI,BlueDart,TRK598044502,01-02-2025,0,Mobile Web
ORD000020,CUST00700,01-05-2025,13:49:00,Delivered,Jodhpur,Rajasthan,224095,7324.71,1744.12,0,648.41,7324.71,EMI,XpressBees,TRK520577230,08-05-2025,0,App
ORD000021,CUST09929,23-08-2024,20:04:00,Delivered,Madurai,Tamil Nadu,217812,264235.05,38914.92,0,39144.87,264235.05,EMI,Shadowfax,TRK817403430,25-08-2024,0,Website
ORD000022,CUST06171,03-04-2024,19:37:00,Delivered,Meerut,Uttar Pradesh,629996,59921.12,6782.04,0,3377.92,59921.12,UPI,XpressBees,TRK927847641,05-04-2024,0,Website
ORD000023,CUST00185,15-09-2024,22:16:00,Shipped,Solapur,Maharashtra,767554,2049.5,105.85,0,173.35,2049.5,UPI,Shadowfax,TRK527259496,,0,App
ORD000024,CUST00796,10-03-2024,18:53:00,Delivered,Kolkata,West Bengal,743528,6726.6,400.68,0,805.08,6726.6,Credit Card,Delhivery,TRK281405125,14-03-2024,0,App
ORD000025,CUST06880,23-05-2024,07:17:00,Shipped,Howrah,West Bengal,236160,33471.3,7107.96,0,1743.66,33471.3,Debit Card,XpressBees,TRK678913899,,0,App
ORD000026,CUST08711,29-06-2024,05:55:00,Delivered,Vijayawada,Andhra Pradesh,421801,142932.73,12407.52,0,8668.79,142932.73,UPI,XpressBees,TRK586755485,03-07-2024,0,Mobile Web
ORD000027,CUST09193,21-07-2024,00:03:00,Delivered,Hyderabad,Telangana,147648,14626.9,3461.04,0,2097.14,14626.9,UPI,Delhivery,TRK409816904,27-07-2024,0,App
ORD000028,CUST06835,26-06-2023,22:45:00,Delivered,Meerut,Uttar Pradesh,683261,11875.41,1049.51,0,778.1,11875.41,Credit Card,Shadowfax,TRK331524583,03-07-2023,0,App
ORD000029,CUST07533,30-11-2024,04:08:00,Shipped,Coimbatore,Tamil Nadu,659886,7292.68,1306.08,0,1269.4,7292.68,Credit Card,Shadowfax,TRK951112458,,0,App
ORD000030,CUST08488,18-04-2025,16:05:00,Delivered,Pune,Maharashtra,772225,239257.7,43271.82,0,44413.12,239257.7,Net Banking,Amazon Logistics,TRK753111316,21-04-2025,0,App
ORD000031,CUST07132,02-10-2023,02:52:00,Delivered,Aurangabad,Maharashtra,777152,73656.45,12495.0,0,6599.55,73656.45,UPI,Amazon Logistics,TRK941863167,06-10-2023,0,App
ORD000032,CUST01107,26-08-2023,10:33:00,Delivered,Meerut,Uttar Pradesh,415182,36968.63,7768.24,0,1267.61,36968.63,Cash on Delivery,BlueDart,TRK572590009,01-09-2023,1,Website
ORD000033,CUST08912,01-04-2025,06:30:00,Delivered,Gwalior,Madhya Pradesh,330143,339041.77,53891.66,0,57865.89,339041.77,UPI,Shadowfax,TRK955888595,07-04-2025,0,Website
ORD000034,CUST01867,10-03-2024,07:18:00,Delivered,Gwalior,Madhya Pradesh,714121,527178.05,87982.56,0,85216.51,527178.05,Credit Card,XpressBees,TRK426129266,17-03-2024,0,App
ORD000035,CUST01370,26-05-2025,17:56:00,Cancelled,Mumbai,Maharashtra,135015,532061.13,82016.52,0,11940.39,532061.13,UPI,DTDC,TRK731489123,,0,App
ORD000036,CUST06204,14-01-2024,12:40:00,Delivered,Faridabad,Haryana,476691,25189.54,3250.8,0,1755.26,25189.54,EMI,DTDC,TRK456918756,20-01-2024,0,App
ORD000037,CUST01894,30-12-2024,00:17:00,Delivered,Aurangabad,Maharashtra,349559,18845.37,3434.28,0,243.91,18845.37,Credit Card,Shadowfax,TRK439115513,05-01-2025,0,App
ORD000038,CUST05691,22-04-2025,11:32:00,Returned,Ahmedabad,Gujarat,161809,11147.74,602.99,0,51.25,11147.74,Debit Card,XpressBees,TRK922925195,,0,Website
ORD000039,CUST09366,15-03-2024,04:30:00,Processing,Mumbai,Maharashtra,139384,20069.83,3491.64,0,3044.81,20069.83,UPI,XpressBees,TRK612713619,,0,App
ORD000040,CUST09899,03-10-2023,10:20:00,Cancelled,Bhopal,Madhya Pradesh,184094,47321.81,5775.66,0,6250.85,47321.81,Credit Card,Shadowfax,TRK231697909,,0,App
ORD000041,CUST05982,07-08-2024,05:05:00,Delivered,Guwahati,Assam,386879,75854.85,13719.6,0,14084.75,75854.85,Debit Card,XpressBees,TRK601721933,10-08-2024,0,Website
ORD000042,CUST01997,08-11-2023,15:59:00,Cancelled,Bhopal,Madhya Pradesh,673600,23877.28,1251.4,0,2402.12,23877.28,Debit Card,Shadowfax,TRK782694312,,0,App
ORD000043,CUST06715,31-12-2024,18:52:00,Delivered,Rajkot,Gujarat,340819,10592.73,1223.64,0,827.91,10592.73,Credit Card,Delhivery,TRK631720745,03-01-2025,0,App
ORD000044,CUST02873,18-03-2024,16:53:00,Delivered,Hubli,Karnataka,175000,13538.31,2107.28,0,1229.97,13538.31,UPI,Amazon Logistics,TRK287586940,21-03-2024,0,Website
ORD000045,CUST05197,10-08-2024,15:20:00,Processing,Aurangabad,Maharashtra,361600,2893.28,117.6,0,295.32,2893.28,Credit Card,Amazon Logistics,TRK772025167,,0,App
ORD000046,CUST03125,06-04-2024,21:10:00,Delivered,Vijayawada,Andhra Pradesh,523487,77671.86,8588.76,0,6914.9,77671.86,Net Banking,Ecom Express,TRK983667021,10-04-2024,0,App
ORD000047,CUST07408,07-12-2023,10:21:00,Delivered,Thane,Maharashtra,726020,72357.32,8015.4,0,2453.08,72357.32,Debit Card,Delhivery,TRK383739286,09-12-2023,0,Website
ORD000048,CUST00232,08-12-2024,01:35:00,Shipped,Kanpur,Uttar Pradesh,290232,19478.71,3098.56,0,624.85,19478.71,Debit Card,Amazon Logistics,TRK811924163,,0,App
ORD000049,CUST09440,09-12-2024,19:21:00,Shipped,Srinagar,Jammu & Kashmir,409570,17095.96,3260.28,0,2333.32,17095.96,UPI,Delhivery,TRK729367243,,0,App
ORD000050,CUST06361,09-10-2023,03:52:00,Processing,Faridabad,Haryana,400102,176702.74,31078.04,0,24684.3,176702.74,Credit Card,DTDC,TRK565423031,,0,App
ORD000051,CUST02611,02-09-2024,20:03:00,Shipped,Ranchi,Jharkhand,422728,4893.35,51.48,0,79.13,4893.35,Credit Card,XpressBees,TRK502955544,,0,App
ORD000052,CUST07339,13-01-2024,01:32:00,Delivered,Bareilly,Uttar Pradesh,533585,13122.88,2205.28,0,727.4,13122.88,UPI,BlueDart,TRK896203203,19-01-2024,0,App
ORD000053,CUST02921,11-04-2024,17:20:00,Delivered,Nagpur,Maharashtra,369501,11903.52,1057.8,0,693.28,11903.52,Debit Card,BlueDart,TRK575041426,14-04-2024,0,Mobile Web
ORD000054,CUST03170,13-06-2025,15:16:00,Returned,Raipur,Chhattisgarh,798127,9284.55,720.66,0,558.11,9284.55,UPI,DTDC,TRK239232637,,0,Website
ORD000055,CUST01131,02-08-2024,02:04:00,Delivered,Chennai,Tamil Nadu,187620,50858.33,9170.54,0,4364.21,50858.33,Credit Card,BlueDart,TRK688686366,06-08-2024,0,App
ORD000056,CUST05679,18-04-2025,05:39:00,Delivered,Meerut,Uttar Pradesh,729529,18605.86,2365.26,0,2558.4,18605.86,Debit Card,BlueDart,TRK966423707,23-04-2025,0,App
